Country,Date,Confirmed
Central Europe and the Baltics,1970-01-01 00:00:00.000002007,105378748.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002006,105772481.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002005,106041911.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002004,106331716.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002003,106624167.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002002,106959751.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002001,107660041.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002000,108447824.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001999,109060951.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001998,109238340.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001997,109422013.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001996,109626194.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001995,109864246.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001994,110021594.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001993,110041924.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001992,110111454.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001991,110469467.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001990,110743128.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001989,110801640.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001988,110686740.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001987,110296425.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001986,109824166.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001985,109338285.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001984,108838073.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001983,108297837.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001982,107730380.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001981,107129392.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001980,106541316.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001979,105948616.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001978,105329397.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001977,104616884.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001976,103776068.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001975,102860571.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001974,101939916.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001973,101112680.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001972,100357161.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001971,99635258.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001970,99134548.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001969,98606630.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001968,97884022.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001967,97043270.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001966,96146336.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001965,95440988.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001964,94715795.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001963,93840016.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001962,93009498.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001961,92232738.0
Central Europe and the Baltics,1970-01-01 00:00:00.000001960,91401764.0
Early-demographic dividend,1970-01-01 00:00:00.000002022,3447398652.0
Early-demographic dividend,1970-01-01 00:00:00.000002021,3411268373.0
Early-demographic dividend,1970-01-01 00:00:00.000002020,3374383528.0
Early-demographic dividend,1970-01-01 00:00:00.000002019,3334561751.0
Early-demographic dividend,1970-01-01 00:00:00.000002018,3292896609.0
Early-demographic dividend,1970-01-01 00:00:00.000002017,3250752755.0
Early-demographic dividend,1970-01-01 00:00:00.000002016,3208369547.0
Early-demographic dividend,1970-01-01 00:00:00.000002015,3165214886.0
Early-demographic dividend,1970-01-01 00:00:00.000002014,3121656203.0
Early-demographic dividend,1970-01-01 00:00:00.000002013,3078407213.0
Early-demographic dividend,1970-01-01 00:00:00.000002012,3035159632.0
Early-demographic dividend,1970-01-01 00:00:00.000002011,2991403487.0
Early-demographic dividend,1970-01-01 00:00:00.000002010,2946285613.0
Early-demographic dividend,1970-01-01 00:00:00.000002009,2901329923.0
Early-demographic dividend,1970-01-01 00:00:00.000002008,2857587007.0
Early-demographic dividend,1970-01-01 00:00:00.000002007,2813790790.0
Early-demographic dividend,1970-01-01 00:00:00.000002006,2769421149.0
Early-demographic dividend,1970-01-01 00:00:00.000002005,2725013738.0
Early-demographic dividend,1970-01-01 00:00:00.000002004,2680567394.0
Early-demographic dividend,1970-01-01 00:00:00.000002003,2635731526.0
Early-demographic dividend,1970-01-01 00:00:00.000002002,2591204247.0
Early-demographic dividend,1970-01-01 00:00:00.000002001,2545843129.0
Early-demographic dividend,1970-01-01 00:00:00.000002000,2499206970.0
Early-demographic dividend,1970-01-01 00:00:00.000001999,2452952807.0
Early-demographic dividend,1970-01-01 00:00:00.000001998,2407186134.0
Early-demographic dividend,1970-01-01 00:00:00.000001997,2361095210.0
Early-demographic dividend,1970-01-01 00:00:00.000001996,2314334474.0
Early-demographic dividend,1970-01-01 00:00:00.000001995,2267616622.0
Early-demographic dividend,1970-01-01 00:00:00.000001994,2223076958.0
Early-demographic dividend,1970-01-01 00:00:00.000001993,2179380224.0
Early-demographic dividend,1970-01-01 00:00:00.000001992,2134566607.0
Early-demographic dividend,1970-01-01 00:00:00.000001991,2088580891.0
Early-demographic dividend,1970-01-01 00:00:00.000001990,2041043553.0
Early-demographic dividend,1970-01-01 00:00:00.000001989,1992092223.0
Early-demographic dividend,1970-01-01 00:00:00.000001988,1946149314.0
Early-demographic dividend,1970-01-01 00:00:00.000001987,1900589995.0
Early-demographic dividend,1970-01-01 00:00:00.000001986,1855624329.0
Early-demographic dividend,1970-01-01 00:00:00.000001985,1811272313.0
Early-demographic dividend,1970-01-01 00:00:00.000001984,1767765290.0
Early-demographic dividend,1970-01-01 00:00:00.000001983,1724928292.0
Early-demographic dividend,1970-01-01 00:00:00.000001982,1682434337.0
Early-demographic dividend,1970-01-01 00:00:00.000001981,1639825731.0
Early-demographic dividend,1970-01-01 00:00:00.000001980,1598348344.0
Early-demographic dividend,1970-01-01 00:00:00.000001979,1559348459.0
Early-demographic dividend,1970-01-01 00:00:00.000001978,1521983049.0
Early-demographic dividend,1970-01-01 00:00:00.000001977,1485833546.0
Early-demographic dividend,1970-01-01 00:00:00.000001976,1450710647.0
Early-demographic dividend,1970-01-01 00:00:00.000001975,1416414404.0
Early-demographic dividend,1970-01-01 00:00:00.000001974,1382608576.0
Early-demographic dividend,1970-01-01 00:00:00.000001973,1349249410.0
Early-demographic dividend,1970-01-01 00:00:00.000001972,1316555228.0
Early-demographic dividend,1970-01-01 00:00:00.000001971,1285672098.0
Early-demographic dividend,1970-01-01 00:00:00.000001970,1255661025.0
Early-demographic dividend,1970-01-01 00:00:00.000001969,1225287413.0
Early-demographic dividend,1970-01-01 00:00:00.000001968,1195278339.0
Early-demographic dividend,1970-01-01 00:00:00.000001967,1166092667.0
Early-demographic dividend,1970-01-01 00:00:00.000001966,1137875812.0
Early-demographic dividend,1970-01-01 00:00:00.000001965,1110603410.0
Early-demographic dividend,1970-01-01 00:00:00.000001964,1083430197.0
Early-demographic dividend,1970-01-01 00:00:00.000001963,1056327420.0
Early-demographic dividend,1970-01-01 00:00:00.000001962,1029962253.0
Early-demographic dividend,1970-01-01 00:00:00.000001961,1004319366.0
Early-demographic dividend,1970-01-01 00:00:00.000001960,979461502.0
East Asia & Pacific,1970-01-01 00:00:00.000002022,2375162207.0
East Asia & Pacific,1970-01-01 00:00:00.000002021,2370189840.0
East Asia & Pacific,1970-01-01 00:00:00.000002020,2363934334.0
East Asia & Pacific,1970-01-01 00:00:00.000002019,2353856866.0
East Asia & Pacific,1970-01-01 00:00:00.000002018,2341383691.0
East Asia & Pacific,1970-01-01 00:00:00.000002017,2327132966.0
East Asia & Pacific,1970-01-01 00:00:00.000002016,2310721864.0
East Asia & Pacific,1970-01-01 00:00:00.000002015,2294507020.0
East Asia & Pacific,1970-01-01 00:00:00.000002014,2278232287.0
East Asia & Pacific,1970-01-01 00:00:00.000002013,2261274500.0
East Asia & Pacific,1970-01-01 00:00:00.000002012,2243776727.0
East Asia & Pacific,1970-01-01 00:00:00.000002011,2225992094.0
East Asia & Pacific,1970-01-01 00:00:00.000002010,2210203758.0
East Asia & Pacific,1970-01-01 00:00:00.000002009,2195169711.0
East Asia & Pacific,1970-01-01 00:00:00.000002008,2179914111.0
East Asia & Pacific,1970-01-01 00:00:00.000002007,2164155292.0
East Asia & Pacific,1970-01-01 00:00:00.000002006,2148405823.0
East Asia & Pacific,1970-01-01 00:00:00.000002005,2132517760.0
East Asia & Pacific,1970-01-01 00:00:00.000002004,2116651449.0
East Asia & Pacific,1970-01-01 00:00:00.000002003,2100610344.0
East Asia & Pacific,1970-01-01 00:00:00.000002002,2083969920.0
East Asia & Pacific,1970-01-01 00:00:00.000002001,2066530023.0
East Asia & Pacific,1970-01-01 00:00:00.000002000,2048148696.0
East Asia & Pacific,1970-01-01 00:00:00.000001999,2028993034.0
East Asia & Pacific,1970-01-01 00:00:00.000001998,2008680261.0
East Asia & Pacific,1970-01-01 00:00:00.000001997,1986768093.0
East Asia & Pacific,1970-01-01 00:00:00.000001996,1964042971.0
East Asia & Pacific,1970-01-01 00:00:00.000001995,1940892820.0
